"No.","Time","Source","Destination","Protocol","Length","Info"
"83","22.382455","2.4.1","host","USB","72","URB_INTERRUPT in"
"84","22.382508","host","2.4.1","USB","64","URB_INTERRUPT in"
"85","27.942663","2.4.1","host","USB","72","URB_INTERRUPT in"
"86","27.942722","host","2.4.1","USB","64","URB_INTERRUPT in"
"87","28.446764","2.4.1","host","USB","72","URB_INTERRUPT in"
"88","28.446854","host","2.4.1","USB","64","URB_INTERRUPT in"
"89","28.662684","2.4.1","host","USB","72","URB_INTERRUPT in"
"90","28.662743","host","2.4.1","USB","64","URB_INTERRUPT in"
"91","28.766688","2.4.1","host","USB","72","URB_INTERRUPT in"
"92","28.766746","host","2.4.1","USB","64","URB_INTERRUPT in"
"93","32.854921","2.4.1","host","USB","72","URB_INTERRUPT in"
"94","32.854951","host","2.4.1","USB","64","URB_INTERRUPT in"
"95","33.022805","2.4.1","host","USB","72","URB_INTERRUPT in"
"96","33.022864","host","2.4.1","USB","64","URB_INTERRUPT in"
"97","33.454871","2.4.1","host","USB","72","URB_INTERRUPT in"
"98","33.454942","host","2.4.1","USB","64","URB_INTERRUPT in"
"99","33.662803","2.4.1","host","USB","72","URB_INTERRUPT in"
"100","33.662857","host","2.4.1","USB","64","URB_INTERRUPT in"
"101","34.366870","2.4.1","host","USB","72","URB_INTERRUPT in"
"102","34.366953","host","2.4.1","USB","64","URB_INTERRUPT in"
"103","34.782842","2.4.1","host","USB","72","URB_INTERRUPT in"
"104","34.782922","host","2.4.1","USB","64","URB_INTERRUPT in"
"105","34.990842","2.4.1","host","USB","72","URB_INTERRUPT in"
"106","34.990910","host","2.4.1","USB","64","URB_INTERRUPT in"
"107","35.054878","2.4.1","host","USB","72","URB_INTERRUPT in"
"108","35.054940","host","2.4.1","USB","64","URB_INTERRUPT in"
"109","38.646999","2.4.1","host","USB","72","URB_INTERRUPT in"
"110","38.647080","host","2.4.1","USB","64","URB_INTERRUPT in"
"111","38.847029","2.4.1","host","USB","72","URB_INTERRUPT in"
"112","38.847103","host","2.4.1","USB","64","URB_INTERRUPT in"
"113","41.311111","2.4.1","host","USB","72","URB_INTERRUPT in"
"114","41.311190","host","2.4.1","USB","64","URB_INTERRUPT in"
"115","41.719092","2.4.1","host","USB","72","URB_INTERRUPT in"
"116","41.719154","host","2.4.1","USB","64","URB_INTERRUPT in"
"117","41.919062","2.4.1","host","USB","72","URB_INTERRUPT in"
"118","41.919143","host","2.4.1","USB","64","URB_INTERRUPT in"
"119","42.007130","2.4.1","host","USB","72","URB_INTERRUPT in"
"120","42.007209","host","2.4.1","USB","64","URB_INTERRUPT in"
"121","44.583148","2.4.1","host","USB","72","URB_INTERRUPT in"
"122","44.583234","host","2.4.1","USB","64","URB_INTERRUPT in"
"123","44.767236","2.4.1","host","USB","72","URB_INTERRUPT in"
"124","44.767320","host","2.4.1","USB","64","URB_INTERRUPT in"
"125","45.511295","2.4.1","host","USB","72","URB_INTERRUPT in"
"126","45.511381","host","2.4.1","USB","64","URB_INTERRUPT in"
"127","45.711174","2.4.1","host","USB","72","URB_INTERRUPT in"
"128","45.711244","host","2.4.1","USB","64","URB_INTERRUPT in"
"129","47.111283","2.4.1","host","USB","72","URB_INTERRUPT in"
"130","47.111349","host","2.4.1","USB","64","URB_INTERRUPT in"
"131","47.111761","host","2.4.0","USBHID","65","SET_REPORT Request"
"132","47.112089","2.4.0","host","USBHID","64","SET_REPORT Response"
"133","47.335320","2.4.1","host","USB","72","URB_INTERRUPT in"
"134","47.335398","host","2.4.1","USB","64","URB_INTERRUPT in"
"135","48.415247","2.4.1","host","USB","72","URB_INTERRUPT in"
"136","48.415297","host","2.4.1","USB","64","URB_INTERRUPT in"
"137","48.599352","2.4.1","host","USB","72","URB_INTERRUPT in"
"138","48.599430","host","2.4.1","USB","64","URB_INTERRUPT in"
"139","50.583415","2.4.1","host","USB","72","URB_INTERRUPT in"
"140","50.583489","host","2.4.1","USB","64","URB_INTERRUPT in"
"141","50.735418","2.4.1","host","USB","72","URB_INTERRUPT in"
"142","50.735488","host","2.4.1","USB","64","URB_INTERRUPT in"
"143","50.735853","host","2.4.0","USBHID","65","SET_REPORT Request"
"144","50.736204","2.4.0","host","USBHID","64","SET_REPORT Response"
"145","50.935381","2.4.1","host","USB","72","URB_INTERRUPT in"
"146","50.935440","host","2.4.1","USB","64","URB_INTERRUPT in"
"147","51.191425","2.4.1","host","USB","72","URB_INTERRUPT in"
"148","51.191501","host","2.4.1","USB","64","URB_INTERRUPT in"
"149","53.591463","2.4.1","host","USB","72","URB_INTERRUPT in"
"150","53.591540","host","2.4.1","USB","64","URB_INTERRUPT in"
"151","53.775472","2.4.1","host","USB","72","URB_INTERRUPT in"
"152","53.775536","host","2.4.1","USB","64","URB_INTERRUPT in"
"153","56.703513","2.4.1","host","USB","72","URB_INTERRUPT in"
"154","56.703597","host","2.4.1","USB","64","URB_INTERRUPT in"
"155","56.943614","2.4.1","host","USB","72","URB_INTERRUPT in"
"156","56.943705","host","2.4.1","USB","64","URB_INTERRUPT in"
"157","57.159577","2.4.1","host","USB","72","URB_INTERRUPT in"
"158","57.159651","host","2.4.1","USB","64","URB_INTERRUPT in"
"159","59.815706","2.4.1","host","USB","72","URB_INTERRUPT in"
"160","59.815778","host","2.4.1","USB","64","URB_INTERRUPT in"
"161","60.063718","2.4.1","host","USB","72","URB_INTERRUPT in"
"162","60.063797","host","2.4.1","USB","64","URB_INTERRUPT in"
"163","60.263673","2.4.1","host","USB","72","URB_INTERRUPT in"
"164","60.263732","host","2.4.1","USB","64","URB_INTERRUPT in"
"165","60.303670","2.4.1","host","USB","72","URB_INTERRUPT in"
"166","60.303739","host","2.4.1","USB","64","URB_INTERRUPT in"
